Site,Year,pH,Odour,Turbidity,Conductivity,Chloride (ppm),Sulphates(ppm),Iron (ppm),COD(ppm),BOD(ppm),DO(ppm),Lead(ppm),Ammonia(ppm),Nitrate(ppm),Fluorides(ppm),Phosphates(ppm),Total Bacterial Count (cfu/ml),Total Fungal Count (cfu/ml),Pesticide (µg/l)
Karan Lake (Site 1) (Ground Water),2016,7.5,NO,0.4,246,112.4,65,0.4,23,16.02,6.2,ND,0.3,45,ND,ND,3000,200,ND
Karan Lake (Site 1) (Ground Water),2017,7.7,NO,0.5,276,122,76,0.5,23.5,16.4,6,ND,0.4,45,ND,ND,3000,200,ND
Karan Lake (Site 1) (Ground Water),2018,7.9,NO,0.6,296,129.9,93,0.6,24.8,17.8,5.9,ND,0.6,45,ND,ND,3000,200,ND
Brahma Sarovar(Site 2) (Ground Water ),2016,7.61,NO,0.2,294,121.9,60,0.5,31.3,19.2,7.2,ND,0.3,45,ND,ND,800,<100,ND
Brahma Sarovar(Site 2) (Ground Water ),2017,7.6,NO,0.21,300,121.8,60,0.7,34.2,20.2,6.2,ND,0.3,51,ND,ND,900,<100,ND
Brahma Sarovar(Site 2) (Ground Water ),2018,7.7,NO,0.3,314,122.9,60,0.7,34.2,21.2,6,ND,0.3,55,ND,ND,900,<100,ND
Teekar Taal(Site 3) (Ground Water),2016,7.5,NO,0.2,513,19.35,75,0.5,24,12.8,7,ND,0.5,10,ND,ND,15000,1200,ND
Teekar Taal(Site 3) (Ground Water),2017,7.53,NO,0.3,543,27.35,78,0.59,25.4,13,6,ND,0.6,13,ND,ND,16000,1200,ND
Teekar Taal(Site 3) (Ground Water),2018,7.6,NO,0.3,565,32.35,88,0.6,26.4,13.6,6.1,ND,0.7,14,ND,ND,17000,1300,ND
Agra Canal(Site 1) (Ground Water),2016,7.2,NO,0.5,453,266.5,95,0.2,15.1,7.3,6.3,ND,0.3,15,ND,ND,2000,100,ND
Agra Canal(Site 1) (Ground Water),2017,7.4,NO,0.6,623,277.5,100,0.3,17.2,8,6,ND,0.4,17,ND,ND,3000,200,ND
Agra Canal(Site 1) (Ground Water),2018,7.4,NO,0.7,633,286.5,105,0.3,18.2,8.2,5.8,ND,0.4,18,ND,ND,3000,200,ND
Yamuna River(Site 1) (Ground Water),2016,7.51,NO,0.5,361,17,40,0.6,18.7,9.4,6.8,ND,0.2,24,ND,ND,2200,800,ND
Yamuna River(Site 1) (Ground Water),2017,7.52,NO,0.7,398,18.2,49,0.6,18.9,9.6,6.1,ND,0.4,25.6,ND,ND,2127,850,ND
Yamuna River(Site 1) (Ground Water),2018,7.54,NO,0.8,467,19.1,56,0.7,19.8,9.8,5.6,ND,0.6,27,ND,ND,2300,880,ND
Yamuna River(Site 2) (Ground Water),2016,7.51,NO,0.5,277,43.9,43,0.7,19.7,9.7,5.1,ND,0.2,17,ND,ND,2400,800,ND
Yamuna River(Site 2) (Ground Water),2017,7.6,NO,0.7,320,47.5,43,0.8,20.2,10,4.9,ND,0.3,21,ND,ND ,2300,850,ND
Yamuna River(Site 2) (Ground Water),2018,7.7,NO,0.8,326,59.2,44,0.9,22.7,10.4,4.2,ND,0.4,25,ND,ND,2500,890,ND
Yamuna River(Site 3) (Ground Water),2016,7.6,NO,0.6,312,45.81,47,0.8,26.7,21.1,4.7,ND,3.1,17,ND,ND,2200,800,ND
Yamuna River(Site 3) (Ground Water),2017,7.77,NO,0.6,347,46.3,54,1.2,27.3,20.3,4.1,ND,4.6,18,ND,ND,2200,800,ND
Yamuna River(Site 3) (Ground Water),2018,7.8,NO,0.7,367,47.81,65,1.2,29.7,24.8,3.4,ND,4.8,19,ND,ND,2500,800,ND
Yamuna River(Site 4) (Ground Water),2016,7.4,NO,1,532,93.87,82,0.3,19.5,15.3,3.7,ND,1.3,11,1.5,5,2500,100,ND
Yamuna River(Site 4) (Ground Water),2017,7.5,NO,1.2,547,99.6,87,0.4,20.2,17.8,3.4,ND,1.2,13,1.8,6,2500,115,ND
Yamuna River(Site 4) (Ground Water),2018,7.94,NO,1.2,552,123.87,90,0.5,21.08,18.9,3.1,ND,1.5,14,1.9,7,2700,145,ND
Ghaggar River(Site 1) (Ground Water),2016,7.5,NO,0.2,563,56.26,65,0.6,16,5.54,8.6,ND,0.4,10,ND,ND,600,<100,ND
Ghaggar River(Site 1) (Ground Water),2017,7.7,NO,0.3,576,62.2,62,0.7,16.7,5.89,8.3,ND,0.5,12,ND,ND,700,<100,ND
Ghaggar River(Site 1) (Ground Water),2018,7.7,NO,0.4,583,67.26,68,0.8,17.1,6.54,8.2,ND,0.5,15,ND,ND,800, <100,ND
Ghaggar River(Site 2) (Ground Water),2016,7.27,NO,0.5,914,154.84,100,0.5,16,9.2,7.2,ND,0.2,10,ND,ND,680,<100,ND
Ghaggar River(Site 2) (Ground Water),2017,7.3,NO,0.5,945,159.2,154,0.6,17.43,9.65,7.1,ND,0.3,12,ND,ND,695,<100,ND
Ghaggar River(Site 2) (Ground Water),2018,7.35,NO,0.6,963,165.84,163,0.6,18.23,10.2,6.5,ND,0.3,14,ND,ND,670,<100,ND
Ghaggar River(Site 3) (Ground Water),2016,8.01,NO,2.1,902,393.56,75,0.5,25.6,15.2,4,ND,0.2,39,0.98,5.2,790,100,ND
Ghaggar River(Site 3) (Ground Water),2017,8.04,NO,2.3,920,376.3,68,0.4,26.6,15.56,4,ND,0.8,47.1,1.1,5.9,855,100,ND
Ghaggar River(Site 3) (Ground Water),2018,8.14,NO,2.5,924,345.56,95,0.4,27,16.2,3.9,ND,1.1,49,0.8,5.4,905,100,ND
Ghaggar River(Site 4) (Ground Water),2016,7.21,NO,2.8,712,51.61,30,1.21,30,24.7,2.7,ND,0.4,10,2.69,ND,600,<100,ND
Ghaggar River(Site 4) (Ground Water),2017,7.34,NO,2.8,734,60.8,45,1.7,31.7,27.1,2.7,ND,0.6,30,3.29,ND,700,<100,ND
Ghaggar River(Site 4) (Ground Water),2018,7.49,NO,2.9,763,76.61,60,1.8,33,30.2,2.6,ND,1.3,34,3.7,ND,800,<100,ND
Ghaggar River(Site 5) (Ground Water),2016,7.63,NO,1.4,589,151.64,75,1.54,26.1,29.7,2.1,ND,1.3,69,1.4,ND,5330,<100,ND
Ghaggar River(Site 5) (Ground Water),2017,7.67,NO,1.5,653,154.4,76,1.65,26.5,35.1,1.9,ND,1.1,72,1.7,ND,5300,<100,ND
Ghaggar River(Site 5) (Ground Water),2018,7.68,NO,1.8,692,198.3,78,1.75,27,39.4,1.1,ND,1.5,78,2.1,ND,5440,<100,ND
Markanda River(Site 1) (Ground Water),2016,7.78,ND,0.47,755.2,19.53,13.5,9.17,9.08,18.48,6.3,ND,0.4,92.5,0.82,ND,700,<100,ND
Markanda River(Site 1) (Ground Water),2017,7.6,ND,0.51,781,17.45,21.6,7.25,9.3,18.9,6.1,ND,0.37,91.2,0.37,ND,800,<100,ND
Markanda River(Site 1) (Ground Water),2018,7.61,ND,0.56,773,18.89,28.9,7.81,9.87,18.7,5.7,ND,0.32,90.5,0.61,ND,800,<100,ND
