site,year,ph,odour,turbidity,conductivity,chloride_(ppm),sulphates(ppm),iron_(ppm),cod(ppm),bod(ppm),do(ppm),lead(ppm),ammonia(ppm),nitrate(ppm),fluorides(ppm),phosphates(ppm),total_bacterial_count_(cfu/ml),total_fungal_count_(cfu/ml),pesticide_(µg/l),wqi,wqi_class,predicted_wqi,priority_score
Karan Lake (Site 1) (Ground Water),2016,7.5,,0.4,246.0,112.4,65.0,0.4,23.0,16.02,6.2,,0.3,45.0,,,3000,200.0,,122.89670685881748,Poor,120.33061926912065,122.89670685881748
Karan Lake (Site 1) (Ground Water),2017,7.7,,0.5,276.0,122.0,76.0,0.5,23.5,16.4,6.0,,0.4,45.0,,,3000,200.0,,153.61815551575592,Poor,152.43541449489598,153.61815551575592
Karan Lake (Site 1) (Ground Water),2018,7.9,,0.6,296.0,129.9,93.0,0.6,24.8,17.8,5.9,,0.6,45.0,,,3000,200.0,,184.34293913312047,Poor,184.1893443957024,184.34293913312047
Brahma Sarovar(Site 2) (Ground Water ),2016,7.61,,0.2,294.0,121.9,60.0,0.5,31.3,19.2,7.2,,0.3,45.0,,,800,,,153.08965598524614,Poor,152.74473088103798,153.08965598524614
Brahma Sarovar(Site 2) (Ground Water ),2017,7.6,,0.21,300.0,121.8,60.0,0.7,34.2,20.2,6.2,,0.3,51.0,,,900,,,213.5099941483826,Very Poor,220.8592242739893,213.5099941483826
Brahma Sarovar(Site 2) (Ground Water ),2018,7.7,,0.3,314.0,122.9,60.0,0.7,34.2,21.2,6.0,,0.3,55.0,,,900,,,213.87488569032027,Very Poor,220.65734344605346,213.87488569032027
Teekar Taal(Site 3) (Ground Water),2016,7.5,,0.2,513.0,19.35,75.0,0.5,24.0,12.8,7.0,,0.5,10.0,,,15000,1200.0,,152.35158683360444,Poor,152.20071883406226,152.35158683360444
Teekar Taal(Site 3) (Ground Water),2017,7.53,,0.3,543.0,27.35,78.0,0.59,25.4,13.0,6.0,,0.6,13.0,,,16000,1200.0,,179.7275226042636,Poor,180.92704681336474,179.7275226042636
Teekar Taal(Site 3) (Ground Water),2018,7.6,,0.3,565.0,32.35,88.0,0.6,26.4,13.6,6.1,,0.7,14.0,,,17000,1300.0,,182.9165142662512,Poor,183.26534725840003,182.9165142662512
Agra Canal(Site 1) (Ground Water),2016,7.2,,0.5,453.0,266.5,95.0,0.2,15.1,7.3,6.3,,0.3,15.0,,,2000,100.0,,61.7009747173444,Good,74.07901677739598,61.7009747173444
Agra Canal(Site 1) (Ground Water),2017,7.4,,0.6,623.0,277.5,100.0,0.3,17.2,8.0,6.0,,0.4,17.0,,,3000,200.0,,92.44578043555994,Good,93.9272752372471,92.44578043555994
Agra Canal(Site 1) (Ground Water),2018,7.4,,0.7,633.0,286.5,105.0,0.3,18.2,8.2,5.8,,0.4,18.0,,,3000,200.0,,92.57512766761867,Good,93.98236172703292,92.57512766761867
Yamuna River(Site 1) (Ground Water),2016,7.51,,0.5,361.0,17.0,40.0,0.6,18.7,9.4,6.8,,0.2,24.0,,,2200,800.0,,183.0369271967676,Poor,204.7725032036536,183.0369271967676
Yamuna River(Site 1) (Ground Water),2017,7.52,,0.7,398.0,18.2,49.0,0.6,18.9,9.6,6.1,,0.4,25.6,,,2127,850.0,,183.30357838928856,Poor,203.98231224136296,183.30357838928856
Yamuna River(Site 1) (Ground Water),2018,7.54,,0.8,467.0,19.1,56.0,0.7,19.8,9.8,5.6,,0.6,27.0,,,2300,880.0,,213.65390436599293,Very Poor,210.26692340731816,213.65390436599293
Yamuna River(Site 2) (Ground Water),2016,7.51,,0.5,277.0,43.9,43.0,0.7,19.7,9.7,5.1,,0.2,17.0,,,2400,800.0,,213.13195012299835,Very Poor,213.65123573063147,213.13195012299835
Yamuna River(Site 2) (Ground Water),2017,7.6,,0.7,320.0,47.5,43.0,0.8,20.2,10.0,4.9,,0.3,21.0,,,2300,850.0,,243.77129731364025,Very Poor,239.37767584990095,243.77129731364025
Yamuna River(Site 2) (Ground Water),2018,7.7,,0.8,326.0,59.2,44.0,0.9,22.7,10.4,4.2,,0.4,25.0,,,2500,890.0,,274.3275125695385,Very Poor,237.3746499957053,274.3275125695385
Yamuna River(Site 3) (Ground Water),2016,7.6,,0.6,312.0,45.81,47.0,0.8,26.7,21.1,4.7,,3.1,17.0,,,2200,800.0,,243.61100334668345,Very Poor,238.90377510557408,243.61100334668345
