Feature,Chi2,p_value,df,Significant_p<0.05
bod(ppm),30.26487603305785,0.0003954315554853046,9,True
nitrate(ppm),25.850130088766452,0.0021615529871023835,9,True
ph,22.499242424242425,0.007424472576037672,9,True
cod(ppm),21.294077134986225,0.011406774077794331,9,True
sulphates(ppm),20.270110192837464,0.01631669438428485,9,True
conductivity,19.885399449035813,0.0186329676136869,9,True
do(ppm),18.14022038567493,0.03358114843484262,9,True
turbidity,17.22059758423395,0.04537144493044161,9,True
chloride_(ppm),16.804820936639118,0.05186164610910377,9,False
total_fungal_count_(cfu/ml),15.092747252747252,0.0884196704788684,9,False
ammonia(ppm),14.856894704621977,0.09494258473824849,9,False
total_bacterial_count_(cfu/ml),12.425524181205999,0.19036904448027137,9,False
fluorides(ppm),7.888888888888889,0.24635716499418944,6,False
phosphates(ppm),2.4000000000000004,0.49363462271172776,3,False
