Feature,Chi2,p_value,df,Significant_p<0.05
pH,24.5993620414673,0.003447841179976451,9,True
COD(ppm),18.61866028708134,0.028637810396110065,9,True
Chloride (ppm),17.533492822966508,0.040988202947739485,9,True
BOD(ppm),15.40334928229665,0.0804359605173887,9,False
Total Bacterial Count (cfu/ml),15.031578947368422,0.09007220131334216,9,False
Conductivity,14.760287081339712,0.09773445110846066,9,False
Iron (ppm),14.428708133971291,0.10787162314526624,9,False
Ammonia(ppm),13.564593301435409,0.13867825567215517,9,False
DO(ppm),13.152631578947368,0.15582059906086518,9,False
Sulphates(ppm),12.258373205741627,0.1991322846523212,9,False
Nitrate(ppm),12.057416267942584,0.21009177540157462,9,False
Turbidity,11.414354066985647,0.24837233999997413,9,False
Fluorides(ppm),9.257142857142858,0.02606037115462933,3,True
Total Fungal Count (cfu/ml),6.708634222919937,0.34863486448890063,6,False
