Model,Training Accuracy,Training Precision,Training Recall,Training F1,Training MCC,4-Fold CV F1,Testing Accuracy,Testing Precision,Testing Recall,Testing F1,Testing MCC,Water_Type
Random Forest,1.0,1.0,1.0,1.0,1.0,0.9630751964085298,0.8888888888888888,0.911111111111111,0.8888888888888888,0.8765432098765431,0.8504200642707613,Groundwater
Gradient Boosting,1.0,1.0,1.0,1.0,1.0,0.9553386800513238,0.7777777777777778,0.6296296296296295,0.7777777777777778,0.6888888888888889,0.7183811165192391,Groundwater
XGBoost,1.0,1.0,1.0,1.0,1.0,0.9619032395566922,0.6666666666666666,0.5259259259259259,0.6666666666666666,0.5851851851851851,0.5319745242113929,Groundwater
SVM,1.0,1.0,1.0,1.0,1.0,0.992263483642794,0.8888888888888888,0.911111111111111,0.8888888888888888,0.8765432098765431,0.8504200642707613,Groundwater
KNN,1.0,1.0,1.0,1.0,1.0,0.9705387205387206,1.0,1.0,1.0,1.0,1.0,Groundwater
Decision Tree,1.0,1.0,1.0,1.0,1.0,0.9694659507159507,0.7777777777777778,0.6296296296296295,0.7777777777777778,0.6888888888888889,0.7183811165192391,Groundwater
Random Forest,1.0,1.0,1.0,1.0,1.0,0.9691484985602633,0.7777777777777778,0.6888888888888889,0.7777777777777778,0.7283950617283951,0.6161878771933119,Surface Water
Gradient Boosting,1.0,1.0,1.0,1.0,1.0,1.0,0.8888888888888888,0.911111111111111,0.8888888888888888,0.8871252204585538,0.8299751174897799,Surface Water
XGBoost,1.0,1.0,1.0,1.0,1.0,0.949295293223187,0.7777777777777778,0.8518518518518517,0.7777777777777778,0.7629629629629631,0.6846531968814576,Surface Water
SVM,1.0,1.0,1.0,1.0,1.0,0.9691484985602633,0.6666666666666666,0.5925925925925926,0.6666666666666666,0.6095238095238096,0.4330127018922193,Surface Water
KNN,1.0,1.0,1.0,1.0,1.0,0.9691484985602633,0.7777777777777778,0.6888888888888889,0.7777777777777778,0.7283950617283951,0.6161878771933119,Surface Water
Decision Tree,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Surface Water
