Model,Pipeline Stage,Accuracy,F1 Score,MCC,4-Fold CV F1 (Stage C only)
Random Forest,A: Raw,1,1,1,—
Random Forest,B: +Gaussian,1,1,1,—
Random Forest,C: +Gauss+SMOTE,1,1,1,1
Gradient Boosting,A: Raw,1,1,1,—
Gradient Boosting,B: +Gaussian,1,1,1,—
Gradient Boosting,C: +Gauss+SMOTE,1,1,1,0.985
SVM,A: Raw,0.97,0.97,0.958,—
SVM,B: +Gaussian,1,1,1,—
SVM,C: +Gauss+SMOTE,1,1,1,1
KNN,A: Raw,0.909,0.914,0.879,—
KNN,B: +Gaussian,1,1,1,—
KNN,C: +Gauss+SMOTE,1,1,1,0.971
Decision Tree,A: Raw,1,1,1,—
Decision Tree,B: +Gaussian,1,1,1,—
Decision Tree,C: +Gauss+SMOTE,1,1,1,1
XGBoost,A: Raw,1,1,1,—
XGBoost,B: +Gaussian,1,1,1,—
XGBoost,C: +Gauss+SMOTE,1,1,1,0.954
